City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
139,Sorland,NO,67.667,12.6934,44.46,86,40,9.6,scattered clouds
140,Port Elizabeth,ZA,-33.918,25.5701,60.31,85,40,4.61,scattered clouds
141,Nouakchott,MR,18.0858,-15.9785,75.13,76,34,17.38,scattered clouds
142,Erenhot,CN,43.6475,111.9767,68.81,32,51,5.46,broken clouds
143,Srednekolymsk,RU,67.45,153.6833,51.24,50,95,3.94,overcast clouds
144,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,0,3.44,clear sky
145,Colac,AU,-38.3333,143.5833,47.17,95,2,3.38,clear sky
146,Niort,FR,46.3333,-0.3333,81.63,45,54,1.99,broken clouds
147,Boa Vista,BR,2.8197,-60.6733,75.18,88,75,3.44,moderate rain
148,Matadi,CD,-5.8167,13.45,79.02,73,61,3.98,broken clouds
149,Mbandaka,CD,0.0487,18.2603,75.88,79,93,2.89,overcast clouds
150,Rawson,AR,-43.3002,-65.1023,63.23,37,93,15.28,overcast clouds
151,Coihaique,CL,-45.5752,-72.0662,40.95,87,100,12.66,overcast clouds
152,Cayenne,GF,4.9333,-52.3333,82.09,1,75,8.05,broken clouds
153,Siavonga,ZM,-16.5382,28.7088,75.27,60,61,4.27,broken clouds
154,Porto Santo,PT,33.072,-16.3415,70.18,64,40,16.11,scattered clouds
155,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,40,9.22,scattered clouds
156,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,68,20,9.22,few clouds
157,Bassar,TG,9.25,0.7833,78.17,65,100,3.24,overcast clouds
158,Qaanaaq,GL,77.484,-69.3632,19.22,84,100,3.74,overcast clouds
159,Lubao,PH,14.9167,120.55,80.31,79,95,2.24,overcast clouds
160,Alyangula,AU,-13.8483,136.4192,77.05,75,1,9.44,clear sky
161,Banda Aceh,ID,5.5577,95.3222,80.76,83,92,13.87,overcast clouds
162,Dwarka,IN,22.2394,68.9678,82.45,85,2,23.38,clear sky
163,Chokurdakh,RU,70.6333,147.9167,32.52,99,100,2.53,overcast clouds
164,Churapcha,RU,62.0025,132.4325,37.22,88,18,5.14,few clouds
165,San Patricio,US,28.017,-97.5169,95.09,46,8,19.86,clear sky
166,Adelaide,AU,-34.9333,138.6,58.42,78,0,8.05,clear sky
167,San Cristobal,VE,7.7669,-72.225,78.98,44,31,10.04,scattered clouds
168,Hovd,MN,48.0056,91.6419,59.4,27,0,0.98,clear sky
169,Hithadhoo,MV,-0.6,73.0833,83.48,69,83,8.43,broken clouds
170,Babstovo,RU,48.1167,132.4833,48.33,96,99,4.21,overcast clouds
