City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
598,Burias,PH,76.3,overcast clouds,11.4463,122.5497,Bahay ni Angelo
600,Shahr-E Babak,IR,80.17,clear sky,30.1165,55.1186,Duna Ecolodge
601,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
603,Mehran,IR,82.81,broken clouds,33.1222,46.1646,بوتیک زنانه بهار
604,Luwuk,ID,75.61,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
605,Omboue,GA,76.69,overcast clouds,-1.5746,9.2618,Hotel Olako
608,Itarema,BR,82.6,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
611,Kulhudhuffushi,MV,83.32,broken clouds,6.6221,73.07,Haajy Guest House 1
614,Hue,VN,77.11,scattered clouds,16.4667,107.6,Saigon Morin Hotel
617,Sambava,MG,76.05,light rain,-14.2667,50.1667,Melrose
621,Baculin,PH,78.03,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
627,Gigmoto,PH,80.37,overcast clouds,13.7796,124.39,Cj's Travellers Inn
633,Porbandar,IN,82.8,clear sky,21.6422,69.6093,Lords Inn Porbandar
636,Punta Cardon,VE,84.96,clear sky,11.6581,-70.215,Bambuda hotel
639,Aplahoue,BJ,76.89,overcast clouds,6.9333,1.6833,Hotel Immaculee
640,Da Nang,VN,76.98,broken clouds,16.0678,108.2208,Grand Mercure Danang
643,Sindgi,IN,77.56,broken clouds,16.9167,76.2333,Sasabal
656,Chake Chake,TZ,77.34,overcast clouds,-5.2459,39.7666,Hotel Archipelago
659,Prado,BR,76.41,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
660,Aswan,EG,88.23,clear sky,24.0934,32.907,Nuba Nile
662,Buala,SB,79.5,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
665,Bud,US,82.35,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
667,Gizo,SB,81.55,few clouds,-8.103,156.8419,Imagination Island
669,Hambantota,LK,80.33,broken clouds,6.1241,81.1185,Bungalow 63
670,Tulum,MX,81.12,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
671,Euclides Da Cunha,BR,75.97,overcast clouds,-10.5075,-39.0158,Hotel e Posto Bastos
674,Lorengau,PG,81.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
680,Luangwa,ZM,75.16,broken clouds,-15.6167,30.4167,Gerasimos Safari Lodge
